TimeStamp_Tool0;Valid_Tool0;X_Tool0;Y_Tool0;Z_Tool0;QX_Tool0;QY_Tool0;QZ_Tool0;QR_Tool0;
4777451;1;-18.3238626552963;20.8831876461453;28.3528748050953;0.31100383282683;-0.259477800437401;-0.535654671670547;0.740960160713589;
4777583;1;-18.3511094630324;20.8772331029198;28.3491056070832;0.310496796091;-0.257648021746563;-0.533561299609402;0.743317950857123;
4777674;1;-18.3554360615231;20.876284603781;28.3488073424407;0.310248499870177;-0.257443536603092;-0.533254304088996;0.743712673658421;
4777768;1;-18.3644841764372;20.8708483511231;28.3372063890147;0.309658002320928;-0.258043777429076;-0.531696236887981;0.744865385293145;
4777883;1;-18.3870026164986;20.8462192563992;28.2706236640043;0.303534900465085;-0.263306350087301;-0.52696199591428;0.748897446293812;
4777987;1;-18.3853008858737;20.8003531728427;28.1784292959281;0.288296536707036;-0.271670028906261;-0.526401905965641;0.752317443445611;
4778096;1;-18.2974894661913;20.7560367538211;28.0956207515163;0.275373115222318;-0.291253816498091;-0.528421738013189;0.748405858196723;
4778205;1;-18.3163795456854;20.6874803671824;28.0234561282554;0.265553358150244;-0.306792794589747;-0.519074358949477;0.75227747875643;
4778314;1;-18.3732874761973;20.5664668923;27.8662106518994;0.247509116765577;-0.321889964538986;-0.505142142075212;0.761549410180771;
4778423;1;-18.409819127802;20.436699662675;27.7240448349019;0.225946496493362;-0.334671407429332;-0.495705781527225;0.768907671916549;
4778534;1;-18.4219166744464;20.3465507848912;27.6483007306105;0.210590359169466;-0.342756980735855;-0.49174805857826;0.772239081933975;
4778643;1;-18.4331699199141;20.2565864517308;27.5696594624868;0.199548289246616;-0.351640144133363;-0.484514501660799;0.775741830103936;
4778753;1;-18.5303808653032;20.038830955454;27.4238626669292;0.148626215460799;-0.349005233907762;-0.48893871379034;0.785521819518615;
4778863;1;-18.6524103394909;19.75622455985;27.2639933657521;0.0957347886405308;-0.350135640594403;-0.484874592017679;0.795698757976402;
4778973;1;-18.7754942020992;19.4334460393394;27.1340376582531;0.0362006374457282;-0.351703782738008;-0.48159221476348;0.801912028676154;
4779081;1;-18.8738238558106;19.2442482667614;27.0867287442831;-0.000733016744473375;-0.349560991386999;-0.477500725199111;0.806101503175198;
